commit	stage	origin	layer	source	metric	mfu	correctness	compile_s	status	description
unknown	baseline				1070.97155526514	6.30583054234366	100.0	0.0	keep	baseline
unknown	config		config		0.0	-1.0	0.0	0.0	discard	"compile_mode=compile-default (metric=0 -> backend produced no throughput: neuronx-cc INTERNAL ERROR (compiler bug -- escalate, do not tune around it): rc=1: [rank0]: error message=""COMPILATION FAILED: [INTERNAL_ERROR] [NCC_IINAR001] [unassigned.crzke] ISA validation failed: TensorScalarAffineSelect; inst failed assertion check: 's2d2_ts_as_valid_elem_count' - "")"
unknown	config		config		1075.7470837983929	6.3339486315055735	100.0	0.0	discard	attn_implementation=sdpa
unknown	config		config		989.3089430927081	5.825004892518628	93.75	0.0	discard	weights_dtype=fp32
unknown	config		config		1038.884269950872	3.0584510518557932	100.0	0.0	discard	tp_degree=2
unknown	config		config		1129.2347485925047	1.6622203764757075	100.0	0.0	keep	tp_degree=4
unknown	config		config		1121.2746904380451	0.8252516318664853	100.0	0.0	discard	tp_degree=8
unknown	config		config		0.0	-1.0	0.0	0.0	discard	tp_degree=16 (metric=0 -> backend produced no throughput: invalid_tp: num_attention_heads=8 not divisible by tp=16)
unknown	config		config		0.0	-1.0	0.0	0.0	discard	tp_degree=32 (metric=0 -> backend produced no throughput: invalid_tp: num_attention_heads=8 not divisible by tp=32)
unknown	config		config		0.0	-1.0	0.0	0.0	discard	tp_degree=64 (metric=0 -> backend produced no throughput: invalid_tp: num_attention_heads=8 not divisible by tp=64)
unknown	config		config		1071.8595047272609	6.311058747341983	100.0	0.0	discard	cp_degree=2
unknown	config		config		1075.6724543670036	6.333509216896009	100.0	0.0	discard	cp_degree=4
unknown	config		config		1071.8455282894195	6.310976454728158	100.0	0.0	discard	cp_degree=8
unknown	config		config		0.0	-1.0	0.0	0.0	discard	"batch=8 (metric=0 -> backend produced no throughput: rc=1: [rank0]: error message=""NRT EXECUTION FAILED: lazy::AllocBind: NRT_RESOURCE on retry after drain, Failed to allocate resource"")"
unknown	config		config		0.0	-1.0	0.0	0.0	discard	"batch=32 (metric=0 -> backend produced no throughput: rc=1: [rank0]: error message=""NRT EXECUTION FAILED: lazy::AllocBind: NRT_RESOURCE on retry after drain, Failed to allocate resource"")"
unknown	known_kernel	harvested	kernel	neuronx-cc	0.0	-1.0	0.0	0.0	discard	"cc:model-type-transformer (metric=0 -> backend produced no throughput: neuronx-cc INTERNAL ERROR (compiler bug -- escalate, do not tune around it): rc=1: [rank1]: error message=""COMPILATION FAILED: [INTERNAL_ERROR] [NCC_IINAR001] [unassigned.crzke] ISA validation failed: TensorScalarAffineSelect; inst failed assertion check: 's2d2_ts_as_valid_elem_count' - "")"
unknown	borrow	borrowed	kernel	neuronx-cc	0.0	-1.0	0.0	0.0	discard	"cc:auto-cast-none (metric=0 -> backend produced no throughput: neuronx-cc INTERNAL ERROR (compiler bug -- escalate, do not tune around it): rc=1: [rank1]: error message=""COMPILATION FAILED: [INTERNAL_ERROR] [NCC_IINAR001] [unassigned.crzke] ISA validation failed: TensorScalarAffineSelect; inst failed assertion check: 's2d2_ts_as_valid_elem_count' - "")"
unknown	graph_rewrite		graph	neuronx-cc	0.0	-1.0	0.0	0.0	discard	"cc:optlevel1 (metric=0 -> backend produced no throughput: neuronx-cc INTERNAL ERROR (compiler bug -- escalate, do not tune around it): rc=1: [rank0]: error message=""COMPILATION FAILED: [INTERNAL_ERROR] [NCC_IINAR001] [unassigned.crzke] ISA validation failed: TensorScalarAffineSelect; inst failed assertion check: 's2d2_ts_as_valid_elem_count' - "")"
unknown	graph_rewrite		graph	neuronx-cc	0.0	-1.0	0.0	0.0	discard	"cc:optlevel2 (metric=0 -> backend produced no throughput: neuronx-cc INTERNAL ERROR (compiler bug -- escalate, do not tune around it): rc=1: [rank2]: error message=""COMPILATION FAILED: [INTERNAL_ERROR] [NCC_IINAR001] [unassigned.crzke] ISA validation failed: TensorScalarAffineSelect; inst failed assertion check: 's2d2_ts_as_valid_elem_count' - "")"
unknown	graph_rewrite		graph	neuronx-cc	0.0	-1.0	0.0	2700.0	discard	cc:optlevel3 (compile too slow: 2700s)
unknown	graph_rewrite		graph	neuronx-cc	0.0	-1.0	0.0	0.0	discard	"cc:optlevel2+nocast (metric=0 -> backend produced no throughput: neuronx-cc INTERNAL ERROR (compiler bug -- escalate, do not tune around it): rc=1: [rank3]: error message=""COMPILATION FAILED: [INTERNAL_ERROR] [NCC_IINAR001] [unassigned.crzke] ISA validation failed: TensorScalarAffineSelect; inst failed assertion check: 's2d2_ts_as_valid_elem_count' - "")"
unknown	graph_rewrite		graph	neuronx-cc	0.0	-1.0	0.0	2700.0	discard	cc:optlevel3+transformer+nocast (compile too slow: 2700s)
unknown	invent		kernel		0.0	-1.0	0.0	0.0	discard	Stage 4 not integrated: invent_engine not wired to pipeline (needs NKI-writer agent + validated on-device execution)
unknown	profile_loop				1129.2347485925047	-1.0	100.0	0.0	discard	round 1: profile=compute_bound hot=attention_prefill(45%) -> re-entered deep stages -> +0.0% (no gain)
unknown	profile_loop				1129.2347485925047	-1.0	100.0	0.0	discard	round 2: profile=compute_bound hot=attention_prefill(45%) -> re-entered deep stages -> +0.0% (no gain)
